ISO3,Country,Human_Development_Groups,UNDP_Developing_Regions,HDI_Rank,GII_Rank,Human_Development_Index,Life_Expectancy_at_Birth,Expected_Years_of_Schooling,Mean_Years_of_Schooling,Gross_National_Income_Per_Capita,Gender_Development_Index,HDI_female,HDI_male,Inequality-adjusted_Human_Development_Index,Coefficient_of_human_inequality,Overall_loss_%,Inequality_in_life_expectancy,Inequality_in_eduation,Inequality_in_income,Gender_Inequality_Index,first,second,continent,Population
KHM,Cambodia,Medium,EAP,146.0,116.0,0.555,68.9149,10.9404126,4.3,2869.323018,0.905,0.527494606,0.582978428,0.426,23.01605092,23.24324324,20.42900276,28.3292,20.28995,0.504,2.1346759654689955,0.4071106076274056,Asia,16758448
KIR,Kiribati,Medium,EAP,136.0,85.37647058823529,0.594,65.3776,11.81653174,7.865527643,2917.619539,0.9349473684210524,0.6763403232163743,0.7167232768888889,0.5621510791366907,20.304142475244607,20.75931192845324,26.7592411,21.38,24.059114932170065,0.3875029940119761,1.133509332990142,0.2886093306972441,Oceania,119760
KOR,South Korea,Very High,,19.0,15.0,0.897,81.3473,16.74004936,11.82945824,36410.47352,0.931,0.860095263,0.923568488,0.804,10.24077454,10.36789298,3.395252705,10.6370709,16.69,0.108,-3.43629890165629,0.0892239350020962,Asia,51276977
KWT,Kuwait,Very High,AS,50.0,74.0,0.826,78.8118,14.09588604,7.271460056,67190.48478,0.989,0.812742701,0.821940337,0.5621510791366907,20.304142475244607,20.75931192845324,6.080307961,21.61969367,24.059114932170065,0.232,-2.166491416888948,2.435300017939097,Asia,4281320
LBN,Lebanon,High,AS,112.0,108.0,0.762,78.6284,12.50924,8.335242455,17964.63874,0.893,0.707060184,0.791839218,0.5621510791366907,20.304142475244607,20.75931192845324,6.751335144,6.177,24.059114932170065,0.453,-1.2672670430772472,-0.6289844087903737,Asia,6819976
LBR,Liberia,Low,SSA,178.0,164.0,0.47,59.9128,9.8693035,4.266,1467.404727,0.831,0.425860565,0.512499544,0.309,33.3035867,34.25531915,34.5267601,46.38,19.004,0.66,4.117874204809206,0.9287012746649592,Africa,5077411
LBY,Libya,High,AS,104.0,61.0,0.726,72.2473,13.4025,7.31,16671.4704,0.969,0.711110609,0.73374483,0.5621510791366907,20.304142475244607,20.75931192845324,10.07670879,19.47365799370064,24.059114932170065,0.243,-0.2768136026071484,-0.1706564936184739,Africa,6887247
LCA,Saint Lucia,High,LAC,106.0,91.0,0.734,72.8821,13.40992892,8.359479904,13999.38477,0.994,0.731307646,0.735554178,0.571,21.82516717,22.20708447,11.41218376,26.66745775,27.39586,0.401,-0.1448437492399259,-0.5343080345837269,North America,183774
LIE,Liechtenstein,Very High,,16.0,85.37647058823529,0.923,82.4981,15.02554035,12.02578246,90018.01203,0.9349473684210524,0.6763403232163743,0.7167232768888889,0.5621510791366907,20.304142475244607,20.75931192845324,5.519098282,19.47365799370064,24.059114932170065,0.3875029940119761,-2.8327156625734093,3.468442311167303,Europe,38147
LKA,Sri Lanka,High,SA,73.0,92.0,0.751,73.9058,13.7407198,10.32950565,10541.47321,0.951,0.725877427,0.762963036,0.5621510791366907,20.304142475244607,20.75931192845324,7.491822243,19.47365799370064,24.059114932170065,0.409,-0.8618495171905842,-0.2831728773593026,Asia,21428970
LSO,Lesotho,Low,SSA,168.0,144.0,0.486,47.8354,12.36983013,5.318859637,3004.064818,0.991,0.484292389,0.488687741,0.311,35.2114784,36.00823045,34.2952652,24.3,47.03917,0.554,3.9710408744373353,2.564545848306699,Africa,2145194
LTU,Lithuania,Very High,,35.0,30.0,0.851,74.2029,16.67333031,12.56449986,25601.69818,1.025,0.860649706,0.839388696,0.768,9.514650945,9.753231492,5.202582836,5.85483,17.48654,0.138,-2.8655675911917737,-0.0099111576833032,Europe,2715340
LUX,Luxembourg,Very High,,17.0,9.0,0.916,80.9818,13.88230991,13.00098991,85299.29025,0.982,0.903649394,0.920553174,0.844,7.725259924,7.860262009,3.269319773,6.01176,13.8947,0.093,-4.4260193168699065,2.424182023618258,Europe,627704
LVA,Latvia,Very High,,39.0,40.0,0.833,73.7447,15.38467979,12.70405006,23245.50419,1.027,0.842799422,0.820821592,0.747,10.05560855,10.32412965,6.151995659,3.4944,20.52043,0.22,-2.532156733665826,-0.1057439177429306,Europe,1882408
MAR,Morocco,Medium,AS,123.0,104.0,0.624,71.6789,11.7844696,4.696,6496.05825,0.833,0.557919328,0.669411847,0.5621510791366907,20.304142475244607,20.75931192845324,15.27164078,19.47365799370064,24.059114932170065,0.489,1.2016799834844265,-0.2683462973371025,Africa,36985624
MCO,Monaco,,,95.81151832460732,85.37647058823529,0.6994157894736842,84.5293,12.958815982329844,8.266224938936842,18248.069539909327,0.9349473684210524,0.6763403232163743,0.7167232768888889,0.5621510791366907,20.304142475244607,20.75931192845324,4.472539902,19.47365799370064,24.059114932170065,0.3875029940119761,-1.0838301934486188,-1.2742775965177526,Europe,39290
MDA,Moldova,High,ECA,80.0,51.0,0.741,69.1431,13.95307612,11.70310974,9835.445363,1.004,0.74254343,0.739682545,0.677,8.634233508,8.636977058,10.33328438,3.254724925,12.31469122,0.255,-1.2407451528685371,1.4938307526346624,Europe,4032294
MDG,Madagascar,Low,SSA,173.0,143.0,0.496,63.5436,10.30860996,4.79761294,1496.277412,0.921,0.474654133,0.515564935,0.331,33.1614714,33.26612903,28.39459419,35.01448,36.07534,0.582,3.295149025663363,-1.0711694901767,Africa,27808395
MDV,Maldives,High,SA,90.0,83.0,0.709,78.6822,12.429241,5.288,14980.45541,0.935,0.681890628,0.729085351,0.534,23.50594722,24.68265162,7.400811672,39.96557,23.15146,0.384,0.4085635960964892,1.9245006798716604,Asia,542151
